framework;platform;app;time;cpu;ram
kotlin;android;animation;5008;7;76.2
kotlin;android;animation;5017;6;76.2
kotlin;android;animation;5020;7;73.7
kotlin;android;animation;5022;8;77.5
kotlin;android;animation;5018;7;77.4
kotlin;android;animation;5021;6;73.1
kotlin;android;animation;5021;7;77.4
kotlin;android;animation;5019;8;76.5
kotlin;android;animation;5020;7;76.6
kotlin;android;animation;5020;7;73.4
kotlin;android;calculations;21;5;69.7
kotlin;android;calculations;17;6;70.4
kotlin;android;calculations;19;6;70.6
kotlin;android;calculations;21;5;70.4
kotlin;android;calculations;17;5;70.5
kotlin;android;calculations;17;5;70.3
kotlin;android;calculations;19;7;70.5
kotlin;android;calculations;15;5;69.3
kotlin;android;calculations;23;7;69.6
kotlin;android;calculations;13;6;69.6
kotlin;android;gps;56;5;70.2
kotlin;android;gps;51;7;70.5
kotlin;android;gps;33;7;71
kotlin;android;gps;95;6;69.2
kotlin;android;gps;41;6;69.6
kotlin;android;gps;1345;5;69.5
kotlin;android;gps;48;7;69.8
kotlin;android;gps;1359;5;69.2
kotlin;android;gps;36;5;69.1
kotlin;android;gps;1407;6;63.7
kotlin;android;video;182;6;68.5
kotlin;android;video;63;6;73.2
kotlin;android;video;91;6;76.2
kotlin;android;video;46;6;71.9
kotlin;android;video;71;5;67.5
kotlin;android;video;74;5;66.0
kotlin;android;video;95;7;69.1
kotlin;android;video;61;7;68.6
kotlin;android;video;55;5;68
kotlin;android;video;54;6;66.6
flutter;android;animation;5022;2.73;60.7
flutter;android;animation;5025;1.43;57.3
flutter;android;animation;5025;4.63;57.7
flutter;android;animation;4961;4.23;58.7
flutter;android;animation;5033;2.63;59.7
flutter;android;animation;5019;1.79;58.7
flutter;android;animation;5030;2.93;57.7
flutter;android;animation;5037;3.73;56.2
flutter;android;animation;5026;1.79;57.2
flutter;android;animation;4942;2.23;56.7
flutter;android;animation;5019;3.43;57.2
flutter;android;calculations;902;1.65;57.5
flutter;android;calculations;960;2.39;56.6
flutter;android;calculations;934;2.34;55.0
flutter;android;calculations;940;1.54;56.4
flutter;android;calculations;912;2.23;54.7
flutter;android;calculations;902;1.65;56.1
flutter;android;calculations;911;2.40;55.2
flutter;android;calculations;938;2.54;55.8
flutter;android;calculations;912;2.75;55.9
flutter;android;calculations;910;2.02;54.9
flutter;android;gps;1408;3.31;56.2
flutter;android;gps;1445;2.62;54.4
flutter;android;gps;4112;6.73;56.6
flutter;android;gps;1425;11.71;56.3
flutter;android;gps;1402;9.78;55.9
flutter;android;gps;1445;2.86;59.1
flutter;android;gps;4083;6.58;59.2
flutter;android;gps;4285;8.04;57.7
flutter;android;gps;4040;6.22;57.2
flutter;android;gps;1231;9.04;57.2
flutter;android;video;287;10.97;64.0
flutter;android;video;295;16.92;65.0
flutter;android;video;284;3.92;63.5
flutter;android;video;274;14.93;64.3
flutter;android;video;264;26.91;64.5
flutter;android;video;256;5.80;64.5
flutter;android;video;271;39.23;64.0
flutter;android;video;268;41.04;64.3
flutter;android;video;247;15.78;64.5
flutter;android;video;238;19.01;64.5
react-native-old;ios;gps;205;6;30.8
react-native-old;ios;gps;266;10;30.5
react-native-old;ios;gps;264;9;30.8
react-native-old;ios;gps;373;10;30.3
react-native-old;ios;gps;415;11;30.9
react-native-old;ios;gps;295;10;30.1
react-native-old;ios;gps;298;4;30.4
react-native-old;ios;gps;308;6;30.5
react-native-old;ios;gps;325;9;30.1
react-native-old;ios;gps;306;6;30.6
react-native-old;ios;calculations;15558.490;100;28.3
react-native-old;ios;calculations;15598.725;100;28.7
react-native-old;ios;calculations;15580.394;100;28.5
react-native-old;ios;calculations;15599.615;100;28.7
react-native-old;ios;calculations;15595.616;100;29.2
react-native-old;ios;calculations;15594.988;100;29.3
react-native-old;ios;calculations;15609.223;100;28.5
react-native-old;ios;calculations;15605.563;100;28.2
react-native-old;ios;calculations;15600.735;100;28.3
react-native-old;ios;calculations;15601.543;100;28.5
react-native-old;ios;calculations;15595.314;100;28.3
react-native-old;ios;video;242.512;33;28.9
react-native-old;ios;video;135.843;24;28.8
react-native-old;ios;video;194.714;50;28.7
react-native-old;ios;video;134.415;48;28.7
react-native-old;ios;video;201.789;26;28.8
react-native-old;ios;video;199.223;43;29
react-native-old;ios;video;46.826;46;28.8
react-native-old;ios;video;134.596;31;28.8
react-native-old;ios;video;139.930;42;28.7
react-native-old;ios;video;133.425;31;28.8
react-native-old;ios;animation;5042;10;28.7
react-native-old;ios;animation;5045;10;28.6
react-native-old;ios;animation;5043;10;28.7
react-native-old;ios;animation;5070;11;28.7
react-native-old;ios;animation;5040;10;28.8
