framework;platform;app;time;cpu_usage_%;ram_MB
kotlin;android;animation;5008;7;76.2
kotlin;android;animation;5017;6;76.2
kotlin;android;animation;5020;7;73.7
kotlin;android;animation;5022;8;77.5
kotlin;android;animation;5018;7;77.4
kotlin;android;animation;5021;6;73.1
kotlin;android;animation;5021;7;77.4
kotlin;android;animation;5019;8;76.5
kotlin;android;animation;5020;7;76.6
kotlin;android;animation;5020;7;73.4

framework;platform;app;time;cpu_usage_%;ram_MB
kotlin;android;calculations;21;5;69.7
kotlin;android;calculations;17;6;70.4
kotlin;android;calculations;19;6;70.6
kotlin;android;calculations;21;5;70.4
kotlin;android;calculations;17;5;70.5
kotlin;android;calculations;17;5;70.3
kotlin;android;calculations;19;7;70.5
kotlin;android;calculations;15;5;69.3
kotlin;android;calculations;23;7;69.6
kotlin;android;calculations;13;6;69.6

framework;platform;app;time;cpu_usage_%;ram_MB
kotlin;android;gps;56;5;70.2
kotlin;android;gps;51;7;70.5
kotlin;android;gps;33;7;71
kotlin;android;gps;95;6;69.2
kotlin;android;gps;41;6;69.6
kotlin;android;gps;1345;5;69.5
kotlin;android;gps;48;7;69.8
kotlin;android;gps;1359;5;69.2
kotlin;android;gps;36;5;69.1
kotlin;android;gps;1407;6;63.7

framework;platform;app;time;cpu_usage_%;ram_MB
kotlin;android;video;182;6;68.5
kotlin;android;video;63;6;73.2
kotlin;android;video;91;6;76.2
kotlin;android;video;46;6;71.9
kotlin;android;video;71;5;67.5
kotlin;android;video;74;5;66.0
kotlin;android;video;95;7;69.1
kotlin;android;video;61;7;68.6
kotlin;android;video;55;5;68
kotlin;android;video;54;6;66.6
