framework;platform;app;time;cpu_percent;ram_MB
react-native-old;ios;gps;0.205;6;30.8
react-native-old;ios;gps;0.266;10;30.5;
react-native-old;ios;gps;0.264;9;30.8;
react-native-old;ios;gps;0.373;10;30.3;
react-native-old;ios;gps;0.415;11;30.9;
react-native-old;ios;gps;0.295;10;30.1;
react-native-old;ios;gps;0.298;4;30.4;
react-native-old;ios;gps;0.308;6;30.5;
react-native-old;ios;gps;0.325;9;30.1;
react-native-old;ios;gps;0.306;6;30.6;

framework;platform;app;time;cpu_percent;ram_MB
react-native-old;ios;calculations;155583.490;100;28.3;
react-native-old;ios;calculations;15598.725;100;28.7;
react-native-old;ios;calculations;15580.394;100;28.5;
react-native-old;ios;calculations;15599.615;100;28.7;
react-native-old;ios;calculations;15595.616;100;29.2;
react-native-old;ios;calculations;15594.988;100;29.3;
react-native-old;ios;calculations;15609.223;100;28.5;
react-native-old;ios;calculations;15605.563;100;28.2;
react-native-old;ios;calculations;15600.735;100;28.3;
react-native-old;ios;calculations;15601.543;100;28.5;
react-native-old;ios;calculations;15595.314;100;28.3;

framework;platform;app;time;cpu_percent;ram_MB
react-native-old;ios;video;5042.512;33;28.9;
react-native-old;ios;video;135.843;24;28.8;
react-native-old;ios;video;194.714;50;28.7;
react-native-old;ios;video;134.415;48;28.7;
react-native-old;ios;video;201.789;26;28.8;
react-native-old;ios;video;199.223;43;29;
react-native-old;ios;video;46.826;46;28.8;
react-native-old;ios;video;134.596;31;28.8
react-native-old;ios;video;139.930;42;28.7;
react-native-old;ios;video;133.425;31;28.8;


framework;platform;app;time;cpu_percent;ram_MB
react-native-old;ios;animation;5042;10;28.7;
react-native-old;ios;animation;5045;10;28.6;
react-native-old;ios;animation;5043;10;28.7;
react-native-old;ios;animation;5070;11;28.7;
react-native-old;ios;animation;5040;10;28.8;
react-native-old;ios;animation;5020;10;28.8;
react-native-old;ios;animation;5015;9;28.7;
react-native-old;ios;animation;5052;9;28.7;
react-native-old;ios;animation;5044;10;28.5;
react-native-old;ios;animation;5048;10;28.7;
react-native-old;ios;animation;5055;10;28.7;

